	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
TCGA-12-3650-01	0.0	0.085085385	0.0	0.0	0.0	0.40375572	0.5493122	0.0	0.0	0.0	0.5229702	0.24369429	0.0	0.53378963	0.0	0.0	0.05499865	0.7166626	0.0	0.2614752	0.3903634	0.85495675	0.0	0.0	0.0	0.0	0.0	0.0	0.08494637	0.0	0.69129145	0.18762828	0.30291006	0.0	0.42288586	0.0	0.96255463	0.0	0.6389867	0.0	0.88638633	0.76892716	0.0	0.0	0.0	0.4220552	0.07443329	0.0
TCGA-28-5220-01	0.0	0.20758809	0.16556373	0.0	1.4978236	0.0	0.86691815	0.5228745	0.0	0.20163207	0.0	0.07994718	0.0	0.0	0.0	0.68993723	0.6177257	1.4935335	0.26315227	0.0076134573	0.0	0.92152286	0.832822	0.0	0.24572547	0.0	0.0	0.0	0.0	0.4817491	0.9749682	0.56733173	0.023115713	1.029469	0.0	0.0	0.6095971	0.52189994	0.0	1.6734954	0.040907457	0.0	0.0	0.8802646	0.31297117	0.25271398	1.1889119	0.12029323
TCGA-06-0190-01	0.0	0.0	0.92873245	0.36656114	0.4429183	0.028608881	0.0	0.0	0.029103478	0.24928847	0.0	0.28867048	0.0	0.730866	0.19663657	0.0	0.106694475	0.0	0.0	0.0	0.7023137	0.92414504	0.0	0.0	0.0	0.0	0.0	0.0	0.59813005	0.0	0.28098017	0.1106487	0.98601586	0.0	0.32993653	0.0	2.0128171	0.40974808	0.7537836	0.0	0.0	0.3295668	0.0	0.0	0.0	0.0	0.14829199	0.26422256
TCGA-02-2483-01	0.077336706	0.0	0.0	0.0	0.0	0.97019416	0.23167658	0.0	0.051658828	0.61663	0.50209475	0.56080294	0.0	0.0	0.6873247	0.26766032	0.11616012	0.0691255	0.43372458	0.12218363	0.0	0.0	0.27210185	0.25813705	0.0	0.0	0.100050256	0.2761009	0.22021817	0.30268365	0.79739994	0.0	0.08003128	0.12980855	0.0	0.21582611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2313695	0.23192903	0.0
TCGA-14-1825-01	0.0	0.0	0.91101956	0.0	0.89416933	0.24012956	0.82822365	0.21240263	0.41769946	0.0	0.0	0.05578374	0.34998828	0.44801486	0.0	0.0	0.8286683	0.26807085	0.0	0.0	0.0	0.74345237	0.9798089	0.0	0.36006144	1.0243083	0.0	0.0	0.0	0.47029206	0.7686328	0.761814	0.0	0.36097965	0.35798103	0.0	0.15019794	0.0	0.0	0.0	0.38021523	0.32868057	0.25156817	0.0	0.0	0.051164526	0.22195682	0.006945659
TCGA-12-0618-01	0.0	0.9486861	0.0	0.0	0.37907422	0.0	0.5602479	0.009659586	0.3069323	0.0	0.0	0.0	0.3536352	0.9590792	0.0	0.0	0.08686028	0.07207328	0.05542887	1.8468039	0.64998764	0.283681	0.14701779	0.0	0.0	0.5337807	0.0	0.28064892	0.07593164	0.0	0.60134995	0.0	0.2572781	0.0	0.198908	0.6007309	0.5536207	0.44421554	0.969933	0.0	1.1342392	0.0	0.04606263	0.0	0.0	0.0	0.33261263	0.5219479
TCGA-06-5413-01	0.0	0.34840813	0.0	0.0	0.26124078	0.0	0.7661464	1.0120672	0.4544128	0.020421233	0.0	0.4042333	0.12580292	0.3774414	0.24693108	1.0476708	0.37145486	0.7322174	0.27607393	0.0	0.45913267	0.06709635	0.37707865	0.0	0.0	0.3362897	0.0	0.24076025	0.0	0.0	0.14316696	0.0	0.05807639	0.3480395	0.40030307	0.022769293	0.6401094	0.7317162	0.0	0.53173625	0.5404419	0.16677013	0.0	0.2204728	0.0	0.36592227	1.0668137	0.10184365
TCGA-32-2616-01	0.0	0.9523694	0.42684606	0.5784292	0.0	0.0	0.0	1.0209051	0.012963702	0.2042958	0.0	0.0	0.8486343	1.5954953	0.0	0.0	0.68398213	0.0002205078	0.30470335	0.90050083	0.13216276	0.0	0.086468935	0.0	0.0	0.2060765	0.34463453	0.0	0.0	1.1704488	0.0	0.40112644	0.43787676	0.0	0.0	0.15788826	0.8876343	1.0737221	0.2868321	0.24251129	0.47862527	0.0	1.2586414	0.0	0.0	0.0	0.17582193	0.0
TCGA-12-0821-01	0.8932673	0.0	0.0	0.63479364	0.0	0.0	0.45502567	0.19834407	0.4728715	0.19868803	0.0	0.0	0.15790634	0.5815726	0.40173733	0.0	0.04009555	0.9400431	0.0	0.0	0.7843848	0.0	0.8482357	0.5232032	0.0	0.6971228	0.7084373	0.0	0.0	0.6503194	0.0	0.0	0.45698452	0.0	0.0	0.7638691	0.0	0.445145	0.17372301	0.0	0.0	0.36465737	0.0	0.3664585	0.6619106	0.6270587	0.013454235	0.0
TCGA-06-0158-01	0.0	0.015232663	0.5971824	0.0	0.17365476	0.115035094	0.0	0.5311417	0.0015782029	0.0	0.0	0.7103441	0.13129866	0.63077176	0.0	0.0	0.39739832	0.0	0.0	0.18909213	0.964719	1.6079209	0.0	0.66220564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1897508	0.0	0.14885168	0.0	1.2436376	0.16134359	0.0	0.0	0.060546335	0.10717148	0.48315167	0.0	0.0	0.020319743	0.56994766	0.0
