trial_id,ts,DATA.SELECT_TOP_VAR.per_modality_k.rna,DATA.SELECT_TOP_VAR.per_modality_k.cnv,DATA.TAKE_INTERSECTION,DATA.ZSCORE,SNF.K,SNF.T,AE.HIDDEN,AE.LATENT_PER_MODAL,AE.DROPOUT,AE.LR,AE.WEIGHT_DECAY,GCN.HIDDEN,GCN.LAYERS,GCN.ALPHA,GCN.DROPOUT,GCN.LR,GCN.WEIGHT_DECAY,GCN.LABEL_SMOOTHING,GCN.CLASS_WEIGHTED_CE,GCN.EARLY_STOP,GCN.EARLY_STOP_PATIENCE,EXPERIMENT.TRAIN_RATIO,TRAIN.VAL_RATIO,acc_mean,acc_std,f1_mean,f1_std
T0071,2025-09-23 06:03:03,6,18,1024,48,0.3,0.0005,0.0005,160,2,0.2,0.45,0.001,0.0003,0.0,True,True,80,0.8,0.15,0.6533,0.0921,0.6315,0.0952
T0072,2025-09-23 06:03:17,12,18,256,64,0.3,0.001,0.0001,192,4,0.1,0.3,0.0012,0.0005,0.0,True,True,80,0.85,0.1,0.6609,0.082,0.6363,0.0936
T0073,2025-09-23 06:03:31,12,15,256,56,0.2,0.001,0.0001,96,4,0.1,0.45,0.0012,0.0003,0.02,False,True,80,0.85,0.1,0.6826,0.0661,0.6519,0.0794
T0074,2025-09-23 06:03:47,12,10,256,64,0.3,0.0005,0.0005,128,2,0.05,0.3,0.001,0.0007,0.01,True,True,80,0.85,0.15,0.6978,0.0746,0.6899,0.0749
T0075,2025-09-23 06:03:59,12,18,512,56,0.2,0.001,0.001,160,3,0.05,0.45,0.0012,0.001,0.0,True,True,80,0.8,0.15,0.69,0.0659,0.6707,0.0676
T0076,2025-09-23 06:04:13,12,10,256,48,0.1,0.001,0.0005,192,3,0.05,0.3,0.001,0.001,0.01,False,True,80,0.75,0.15,0.6797,0.0812,0.6469,0.1008
T0077,2025-09-23 06:04:27,10,18,256,64,0.2,0.001,0.0001,128,3,0.05,0.35,0.0008,0.0007,0.0,False,True,80,0.8,0.1,0.6167,0.0742,0.5894,0.0806
T0078,2025-09-23 06:04:41,10,10,1024,64,0.2,0.001,0.001,96,3,0.2,0.35,0.0008,0.0007,0.01,True,True,80,0.8,0.15,0.6383,0.0661,0.6193,0.0733
T0079,2025-09-23 06:04:58,6,18,1024,40,0.2,0.001,0.001,128,3,0.05,0.4,0.001,0.0003,0.0,True,True,80,0.8,0.15,0.6783,0.0784,0.6634,0.0849
T0080,2025-09-23 06:05:14,10,12,1024,64,0.2,0.001,0.0005,160,4,0.1,0.45,0.001,0.0003,0.0,False,True,80,0.85,0.15,0.6522,0.0902,0.6238,0.0947
T0081,2025-09-23 06:05:31,12,10,512,40,0.1,0.001,0.0001,96,3,0.2,0.45,0.001,0.0001,0.01,False,True,80,0.75,0.1,0.6784,0.0745,0.6409,0.0969
T0082,2025-09-23 06:05:48,12,10,1024,48,0.1,0.0005,0.0001,160,2,0.1,0.35,0.0008,0.0005,0.0,False,True,80,0.8,0.1,0.6283,0.0902,0.5898,0.091
T0083,2025-09-23 06:06:03,6,12,1024,40,0.1,0.0005,0.0005,192,2,0.2,0.35,0.0012,0.001,0.01,True,True,80,0.8,0.15,0.68,0.071,0.6544,0.0765
T0084,2025-09-23 06:06:19,10,18,512,64,0.3,0.0005,0.001,128,2,0.1,0.35,0.0012,0.0005,0.01,False,True,80,0.75,0.15,0.6959,0.0678,0.6569,0.0796
T0085,2025-09-23 06:06:33,10,12,256,48,0.1,0.0005,0.0001,128,4,0.2,0.45,0.0012,0.001,0.0,True,True,80,0.75,0.15,0.65,0.0723,0.6283,0.0797
T0086,2025-09-23 06:06:47,6,18,512,64,0.1,0.0005,0.0001,96,3,0.05,0.3,0.0012,0.0007,0.0,False,True,80,0.75,0.15,0.6703,0.0814,0.635,0.0879
T0087,2025-09-23 06:07:02,8,18,512,64,0.2,0.0005,0.001,128,2,0.2,0.35,0.001,0.0001,0.02,False,True,80,0.85,0.1,0.6739,0.0747,0.6502,0.0864
T0088,2025-09-23 06:07:15,6,10,256,48,0.1,0.001,0.0005,96,4,0.2,0.4,0.0008,0.0007,0.0,True,True,80,0.75,0.1,0.6257,0.0898,0.6043,0.0912
T0089,2025-09-23 06:07:31,6,10,1024,40,0.2,0.001,0.001,128,4,0.2,0.3,0.001,0.001,0.0,True,True,80,0.75,0.15,0.6824,0.0837,0.6618,0.0856
T0090,2025-09-23 06:07:48,12,10,1024,64,0.2,0.001,0.001,160,4,0.1,0.35,0.0012,0.0001,0.02,False,True,80,0.8,0.15,0.645,0.0791,0.6091,0.0902
T0091,2025-09-23 06:08:06,8,18,512,64,0.2,0.0005,0.001,128,2,0.1,0.45,0.0008,0.0003,0.01,False,True,80,0.75,0.1,0.6703,0.0697,0.6434,0.0812
T0092,2025-09-23 06:08:20,12,18,1024,64,0.1,0.001,0.0005,96,2,0.05,0.4,0.001,0.001,0.0,False,True,80,0.8,0.15,0.6417,0.0666,0.6027,0.0757
T0093,2025-09-23 06:08:35,8,15,512,64,0.2,0.001,0.0005,128,2,0.05,0.45,0.001,0.001,0.02,False,True,80,0.75,0.15,0.6581,0.083,0.6271,0.0963
T0094,2025-09-23 06:08:50,8,10,256,48,0.2,0.001,0.0001,160,2,0.1,0.45,0.001,0.0001,0.01,False,True,80,0.75,0.15,0.6378,0.0625,0.6056,0.0718
T0095,2025-09-23 06:09:03,12,12,256,56,0.3,0.001,0.0005,96,2,0.1,0.3,0.0008,0.0001,0.02,False,True,80,0.75,0.15,0.6811,0.0703,0.646,0.0727
T0096,2025-09-23 06:09:18,8,12,256,48,0.1,0.001,0.0001,192,4,0.2,0.4,0.001,0.001,0.02,False,True,80,0.8,0.1,0.6483,0.0741,0.6178,0.075
T0097,2025-09-23 06:09:34,12,15,256,56,0.2,0.001,0.001,160,3,0.1,0.4,0.001,0.0007,0.02,False,True,80,0.8,0.15,0.6967,0.0795,0.6606,0.0882
T0098,2025-09-23 06:09:48,6,18,1024,48,0.1,0.001,0.001,96,2,0.05,0.4,0.0008,0.0007,0.02,True,True,80,0.8,0.1,0.62,0.0921,0.5995,0.0973
T0099,2025-09-23 06:10:05,6,15,256,56,0.3,0.0005,0.001,96,3,0.1,0.4,0.0008,0.0001,0.02,False,True,80,0.85,0.15,0.7152,0.0927,0.6985,0.1031
T0100,2025-09-23 06:10:20,10,18,256,64,0.1,0.0005,0.0005,160,3,0.2,0.35,0.0012,0.0007,0.01,True,True,80,0.85,0.15,0.6913,0.0801,0.6756,0.0857
