u,v,rho,pval
TCGA-02-0016-01,TCGA-08-0355-01,0.6113807007578271,0.0
TCGA-02-0016-01,TCGA-08-0356-01,0.6544721605403053,0.0
TCGA-02-0016-01,TCGA-08-0357-01,0.7128535782540316,0.0
TCGA-02-0016-01,TCGA-08-0375-01,0.6830593367355161,0.0
TCGA-02-0016-01,TCGA-12-0656-01,0.6877236575368888,0.0
TCGA-02-0016-01,TCGA-12-0670-01,0.6348198098518196,0.0
TCGA-02-0016-01,TCGA-12-0688-01,0.6423114860120679,0.0
TCGA-02-0016-01,TCGA-12-0703-01,0.6874835394343288,0.0
TCGA-02-0016-01,TCGA-12-0707-01,0.7565882285861002,0.0
TCGA-02-0016-01,TCGA-12-0780-01,0.633276177761607,0.0
TCGA-02-0016-01,TCGA-12-0820-01,0.6504162232323625,0.0
TCGA-02-0016-01,TCGA-12-0829-01,0.6274431622863015,0.0
TCGA-02-0016-01,TCGA-12-1093-01,0.6477263830590859,0.0
TCGA-02-0016-01,TCGA-12-3648-01,0.6216326097259458,0.0
TCGA-02-0016-01,TCGA-14-0786-01,0.7336528199479281,0.0
TCGA-02-0016-01,TCGA-14-0866-01,0.6694049695140062,0.0
TCGA-02-0016-01,TCGA-14-1043-01,0.6608071620042434,0.0
TCGA-02-0016-01,TCGA-14-1395-01,0.7370130568211322,0.0
TCGA-02-0016-01,TCGA-14-1402-01,0.6183685792207786,0.0
TCGA-02-0016-01,TCGA-14-2554-01,0.6092299930733255,0.0
TCGA-02-0016-01,TCGA-14-2555-01,0.6218693680999833,0.0
TCGA-02-0016-01,TCGA-16-1048-01,0.6933147280694847,0.0
TCGA-02-0016-01,TCGA-19-0963-01,0.6447689369112152,0.0
TCGA-02-0016-01,TCGA-19-1386-01,0.6537569744133491,0.0
TCGA-02-0016-01,TCGA-19-1389-01,0.6028541237233602,0.0
TCGA-02-0016-01,TCGA-19-2631-01,0.6915298222163258,0.0
TCGA-02-0016-01,TCGA-19-5950-01,0.6360197418003699,0.0
TCGA-02-0016-01,TCGA-19-5954-01,0.6285950213733098,0.0
TCGA-02-0016-01,TCGA-19-5958-01,0.7995055509661251,0.0
TCGA-02-0016-01,TCGA-19-5959-01,0.6197036607599322,0.0
TCGA-02-0016-01,TCGA-26-5139-01,0.6106939455964638,0.0
TCGA-02-0016-01,TCGA-27-1833-01,0.6519967475431329,0.0
TCGA-02-0016-01,TCGA-27-1835-01,0.6119871118295251,0.0
TCGA-02-0016-01,TCGA-27-2523-01,0.6419262061023133,0.0
TCGA-02-0016-01,TCGA-27-2527-01,0.6405855310496342,0.0
TCGA-02-0016-01,TCGA-28-1749-01,0.6525338838737308,0.0
TCGA-02-0016-01,TCGA-28-2513-01,0.7035466532866907,0.0
TCGA-02-0016-01,TCGA-32-1980-01,0.6221440785161573,0.0
TCGA-02-0016-01,TCGA-32-2638-01,0.6638019795195207,0.0
TCGA-02-0016-01,TCGA-41-2572-01,0.678887903711781,0.0
TCGA-02-0016-01,TCGA-41-3393-01,0.6910358831762736,0.0
TCGA-02-0016-01,TCGA-41-6646-01,0.7045798266937726,0.0
TCGA-02-0016-01,TCGA-74-6581-01,0.7467829366204911,0.0
TCGA-02-0016-01,TCGA-76-4926-01,0.6154609484979804,0.0
TCGA-02-0016-01,TCGA-76-6656-01,0.6080337692834498,0.0
TCGA-02-0016-01,TCGA-76-6657-01,0.6913554445281472,0.0
TCGA-02-0016-01,TCGA-76-6664-01,0.6510908619918745,0.0
TCGA-02-0016-01,TCGA-RR-A6KB-01,0.6237880723644486,0.0
TCGA-02-0016-01,TCGA-RR-A6KC-01,0.6567198530222328,0.0
TCGA-02-0021-01,TCGA-02-0023-01,0.7322763868412872,0.0
TCGA-02-0021-01,TCGA-02-0037-01,0.8456021758505748,0.0
TCGA-02-0021-01,TCGA-02-0038-01,0.8057978001566649,0.0
TCGA-02-0021-01,TCGA-02-0043-01,0.8288330154185547,0.0
TCGA-02-0021-01,TCGA-02-0046-01,0.6193568662767387,0.0
TCGA-02-0021-01,TCGA-02-0057-01,0.8790659604805918,0.0
TCGA-02-0021-01,TCGA-02-0064-01,0.7144102678230869,0.0
TCGA-02-0021-01,TCGA-02-0068-01,0.6843599926675406,0.0
