u,v,sim
TCGA-08-0386-01,TCGA-06-1804-01,0.4257636285917748
TCGA-76-4931-01,TCGA-06-0744-01,0.6738967349317992
TCGA-76-4931-01,TCGA-02-2485-01,0.6401242352626891
TCGA-27-1830-01,TCGA-06-0210-02,0.41254731516631193
TCGA-06-0187-01,TCGA-06-1804-01,0.5065587057365283
TCGA-06-0187-01,TCGA-06-5414-01,0.6469181909144113
TCGA-06-0187-01,TCGA-32-2638-01,0.544569698581825
TCGA-06-0187-01,TCGA-19-2625-01,0.5142228810228536
TCGA-14-1823-01,TCGA-02-2486-01,0.7791077119915163
TCGA-02-2486-01,TCGA-14-0781-01,0.7749751403957184
TCGA-19-1390-01,TCGA-06-0221-02,0.8193252325247461
TCGA-19-1390-01,TCGA-19-2624-01,0.8334318574334426
TCGA-19-1390-01,TCGA-41-5651-01,0.8701688029006842
TCGA-06-0221-02,TCGA-19-2624-01,0.8397040147217867
TCGA-06-0221-02,TCGA-27-2521-01,0.8047213049608052
TCGA-06-0221-02,TCGA-26-1442-01,0.8316699560146374
TCGA-06-0221-02,TCGA-41-5651-01,0.8923486676810948
TCGA-32-1980-01,TCGA-06-0749-01,0.43560329116041197
TCGA-32-1980-01,TCGA-06-0132-01,0.8366128908194
TCGA-06-0747-01,TCGA-28-5209-01,0.6204878483761744
TCGA-06-0747-01,TCGA-06-2565-01,0.5378990685819681
TCGA-28-5209-01,TCGA-14-0790-01,0.5915121283055669
TCGA-28-5209-01,TCGA-06-2565-01,0.5886264053043727
TCGA-06-0686-01,TCGA-06-2558-01,0.8703514222622403
TCGA-06-0686-01,TCGA-06-2570-01,0.8434579406956715
TCGA-06-0686-01,TCGA-41-2571-01,0.8697081162034642
TCGA-76-4927-01,TCGA-06-0210-02,0.4317421496033267
TCGA-28-5207-01,TCGA-06-5408-01,0.5373519400370336
TCGA-28-5207-01,TCGA-06-5859-01,0.3147404451042215
TCGA-06-0171-02,TCGA-06-0130-01,0.8154743485891893
TCGA-06-0171-02,TCGA-06-5410-01,0.9227861711035792
TCGA-06-2558-01,TCGA-06-2570-01,0.8469155795718789
TCGA-14-1402-02,TCGA-14-1829-01,0.709883018073258
TCGA-06-0644-01,TCGA-06-0130-01,0.8791178964449541
TCGA-06-0644-01,TCGA-06-0190-02,0.888603060837108
TCGA-06-0644-01,TCGA-02-0055-01,0.8602442535895161
TCGA-06-0644-01,TCGA-14-0781-01,0.8068921067063543
TCGA-06-2570-01,TCGA-06-0129-01,0.8351781730957318
TCGA-06-2559-01,TCGA-19-2624-01,0.8025263319802293
TCGA-26-5132-01,TCGA-06-0743-01,0.4557335670188538
TCGA-26-5132-01,TCGA-19-2625-01,0.5736227168089556
TCGA-12-5299-01,TCGA-06-5408-01,0.391673265047887
TCGA-06-0743-01,TCGA-41-2572-01,0.5943114947030429
TCGA-06-0743-01,TCGA-06-2565-01,0.5102253353290399
TCGA-06-0680-11,TCGA-06-0675-11,0.9807374647530087
TCGA-06-0680-11,TCGA-28-2514-01,0.7137563906393948
TCGA-06-0680-11,TCGA-06-0678-11,0.9625986932354494
TCGA-06-0680-11,TCGA-28-2510-01,0.8538665565217454
TCGA-41-2572-01,TCGA-32-2638-01,0.5903719022305316
TCGA-06-0744-01,TCGA-14-0790-01,0.536106264724155
TCGA-06-0130-01,TCGA-06-0190-02,0.8812323311061127
TCGA-06-0130-01,TCGA-02-0055-01,0.8643727626001348
TCGA-06-0749-01,TCGA-06-0132-01,0.5209493466013133
TCGA-06-0675-11,TCGA-06-0678-11,0.9447842812786367
TCGA-06-0675-11,TCGA-28-2510-01,0.8358056107208329
TCGA-19-2629-01,TCGA-06-0129-01,0.7711085869528761
TCGA-06-5414-01,TCGA-32-2638-01,0.6696153865333184
TCGA-06-2569-01,TCGA-14-0871-01,0.7005872194246535
TCGA-14-0736-02,TCGA-14-1829-01,0.7077740237896836
TCGA-14-0736-02,TCGA-06-0132-01,0.6679835673934934
TCGA-19-0957-02,TCGA-02-0047-01,0.718874206515406
TCGA-06-0190-02,TCGA-02-0055-01,0.8731292990557155
TCGA-14-0790-01,TCGA-06-2565-01,0.5790519284084112
TCGA-06-0878-01,TCGA-06-0210-01,0.705226910242774
TCGA-06-0678-11,TCGA-28-2510-01,0.8812580978026748
TCGA-19-2624-01,TCGA-41-5651-01,0.8676481337285532
TCGA-06-5858-01,TCGA-06-2564-01,0.3573542813364275
TCGA-27-2521-01,TCGA-41-5651-01,0.8877519523315586
TCGA-27-2521-01,TCGA-41-2571-01,0.8534544526153356
TCGA-06-5410-01,TCGA-06-0882-01,0.7758330150644731
TCGA-41-5651-01,TCGA-41-2571-01,0.919349843498302
